,name,grape_variety,description
334,Devaux 'Oeil de Perdrix' Rosé Champagne,Chardonnay,"What do church organs and high-powered motorbikes have in common? They’re winemaker Michel Parisot’s hobbies – his downtime from making sublime Champagnes. It’s a fitting portrait of a winemaker whose trademark approach to this most traditional of fizzes is decidedly unconventional. Michel is all about maximum flavour. He picks the Pinot Noir grapes as late as possible for as much aromatic flavour as possible. Michel then uses only the first press of the grapes – guaranteeing freshness. He also ages the wines for a minimum of four years – far longer than the requisite thirty months. The result is a rosé Champagne which punches well above its price point. It has moreish flavours of redcurrant and raspberries. And the creamy texture is perfect with puddings, especially fruit-based ones."
335,Veuve Clicquot 2012 Champagne,Chardonnay,"Veuve Clicquot vintage Champagne is seriously rare. They only make it in exceptional years, so you can be sure that it's something special. Each release is eagerly awaited by Champagne fans in the know - and it doesn't disappoint. This is clear, pure and intense with a complex nose of brioch and biscuit. Its balancing salinity makes it an ideal pairing for oysters."
336,Taittinger Brut Réserve NV Champagne,Chardonnay,"The first time Pierre Taittinger visited Champagne was as an injured officer of the French army during WWI. Château de la Marquetterie was being used as a French command post at the time. Young Pierre promised himself, that if he ever had the chance, he would buy the estate for his family. And in 1932 he did just that. Luckily, the sale included some of the original vineyards which had been planted by Benedictine monks in the 1730s. So, wine merchant Pierre was able to launch a Champagne label under his family name. Chardonnay’s 60% of the blend, meaning it’s full of honeysuckle, brioche and pear flavours. Bright. Fresh. It’s a classic NV – and not just because it was Bond’s favourite in Fleming’s original novels. Try it with something equally decadent – cheese gougères fresh from the oven."
337,Pol Roger Réserve Champagne,Chardonnay,"Pol Roger is famous as Churchill’s favourite Champagne – they’ve even named a cuvée after him – and it’s been the fizz of choice for royal weddings. In the 1850s, the savvy founder noted that British tastes favoured a drier style – Brut – and he prioritised perfecting it. It was against the fashion of the times, but it was suited to Pol’s incredibly deep cellars. Thirty-three meters below street level, they’re three degrees cooler than other Champagne cellars – a tiny variation which makes all the difference. It slows the fermentation right down, the longer process intensifing flavours and creating the extra-fine bubbles which make this such a lush glassful. It’s full of pear, mango and honeysuckle flavours – but rich and biscuity. Sublime with dressed crab."
338,Ruinart Rosé NV Champagne,Chardonnay,"Ruinart are Champagne's oldest house. Their Rosé was first released in 1962, and it's gone from strength to strength since. It's initially made as a Blanc de Blancs Champagne, before a dash of Pinot Noir is added to the mix. This gives it a beautiful depth and a sublime golden pink colour. Expect a subtle nose of cherry and freshly-picked red berries, leading to a delightfully smooth finish. Decanter's James Button gave it 90 points."
339,Nicolas Feuillatte Brut Champagne,Chardonnay,"If you order a glass of Brut NV in a wine bar in Paris, more likely than not it’ll be a glass of Nicolas Feuillatte. It’s far and away the most popular Champagne label in France – and the third most popular in the world. It was founded by instant-coffee magnate and jet setter Nicolas Feuillatte. Jackie Kennedy and Lauren Bacall once flitted in and out of Nicolas’ Fifth Avenue apartment, glasses of fizz in hand. But it’s not just famous because of celebrity connections. Nicolas Feuillatte is one of a kind – the only co-operative in Champagne. It’s been known for it's delicious, incredibly well-made Champagnes since the 1980s. This Brut NV is full of fruit – white peaches, apples and raspberries. Ripe and creamy, it’s still got a great citrussy zingy. It’s perfect with fish and chips."
340,"Incanta Pinot Noir 2020, Romania",Pinot Noir,"Love Pinot Noir but don’t love the price tag? Romania is a where insiders look for great value, great tasting Pinot. It’s in the swing of a post-Soviet winemaking renaissance – and Englishman Philip Cox, and his Romanian wife, Elvira, are ready to sing its praises to the rooftops. Grapes have been grown on the site of their vineyard since 1447 – but it’s only in the past three decades that Philip and Elvira have united the lattice of tiny plots owned by family growers under a label big enough to export. This Pinot is deliciously fresh and juicy. Full of black cherry, raspberry and cinnamon. It’s a wonderfully fruity, light and approachable Pinot Noir. And it’s incredible value at a price traditional Pinot Noir regions like Burgundy could never offer. Try slightly chilled with charcuterie."
341,"Balfour 1503 Brut, England",Chardonnay,"This superb English sparkling comes from one of the country’s leading producers. Owen and Fergus Elias have been winemakers at Balfour for the last 10 years. So they know the best local vineyards for crafting traditional method sparkling that rivals top Champagne houses. For the 1503 Brut, they picked Pinot Noir and Chardonnay from the beautiful Hush Heath Estate in Kent. The resulting wine shows crisp notes of apple and citrus fruit, pepper and thyme. Complex, toasty and the perfect aperitif to any meal."
342,"Nyetimber Classic Cuvée, England",Chardonnay,"When Cherie Spriggs’ parents gave her a bottle of Nyetimber, they sparked a passion for the wine she would one day come to make. She and her winemaker husband joined Nyetimber in 2007 – and since then, the wines have gone from strength to strength, winning buckets of awards – and accolades for Cherie herself. She was the non-Champagne winemaker to ever be named ‘Sparkling Winemaker of the Year’. It’s not hard to see why. ‘Nitimbreha’ was first recorded on the site of the winery in the 1086 Domesday book. Though the first vines weren’t planted there for nearly 900 years, Cherie evokes a real sense of bucolic England in her wines. It’s ripe with orchard fruit flavours – like the golden apples picked nearby. Honeyed, with fresh pastry-like aromas, it’s delicious with grilled trout."
343,"Saint Clair 'Pioneer Block 25' Sauvignon Blanc 2020, Wairau Valley",Sauvignon Blanc,"Saint Clair have won more awards for their Sauvignon Blancs than any other producer in Marlborough. In fact, they’ve been winning awards since their very first vintage. No wonder when they’re pioneers in the region. They’ve been growing grapes there since the 1970s, so they really know the region inside out. They decided to put this knowledge to good use, creating single vineyard – ‘block’ – wines which are expressive of their particular patch. This Sauvignon is one of them. Because it’s so selective, they only make it in the very best vintages. It’s worth the wait. It really bursts with that classic Marlborough fruit – think passionfruit, gooseberry and freshly cut grass. Bright. Fruity. Intensely refreshing. Perfect with Thai food."
344,"Mud House Sauvignon Blanc 2020, Marlborough",Sauvignon Blanc,"Mud House has quickly become one of the biggest names in Marlborough. They’re known for their zingy ‘savvy’ – deliciously fresh wine which is absolutely textbook Marlborough Sauvignon. No wonder. Marlborough is everything to Mud House’s founder. They fell in love with the region twenty years ago, and after preparing the land for vines they built their home using the local earth. It’s the ‘mud house’ we all know and love. When we introduced it a few years ago, Mud House quickly became a firm customer favourite. It’s incredibly drinkable – the perfect wine to have just-in-case in the fridge door. Intensely refreshing, it’s overflowing with exotic, tropical fruit aromas. Think passionfruit, guava, grapefruit, melon and citrus. Fresh. Fruity. What more could you ask for?"
345,"Villa Maria 'Cellar Selection' Sauvignon Blanc 2020, Marlborough",Sauvignon Blanc,"Like another world-renowned brand we could mention, Villa Maria was founded in a garage. George Fistonich’s garage in an Auckland suburb, to be precise. He's now ‘Sir George’, and his backyard experiment is the most awarded winery in New Zealand. Of course, it’s mainly known for its benchmark Sauvignons – and the Cellar Selection is particularly special. Think gooseberry and passionfruit with the zing of grapefruit. The grapes are even harvested in the cool of the night to make sure as many aromas as possible are preserved. If you love Kiwi Sauvignon this is a no-brainer upgrade – it’s got all the flavour dials turned way up.The Cellar Selection wines were created expressly for food. Kiwis love Asian-inspired foods, so this Sauvignon is extra aromatic which works really well with spice."
346,"Villa Maria Cellar Selection Pinot Noir 2018, Marlborough",Pinot Noir,"This wine is made by blending grapes of selected vineyards in the Awatere and Wairau Valleys of Marlborough. The vineyards are managed to the highest standard to ensure quality. It is medium bodied with beautifully poised red fruit and very well integrated oak flavours. The crisp acidity and fine grained tannins provide a delightfully clean long finish of considerable finesse. Serve with rabbit, veal or duck."
347,"The King's Legacy Chardonnay 2018, Marlborough",Chardonnay,"This Chardonnay is sourced from two vineyards, one a mature plot in the centre of the Wairau Valley, the other a plot of younger vines in Brancott Valley. The grapes were fermented in large French oak casks using predominantly wild yeasts and allowed 10 months' on lees. An easily enjoyable Chardonnay that combines fresh apple, nectarine and tangerine flavours with subtle creaminess, hints of toasted almonds and a gently spicy complexity. Try this with seared scallops served with black pudding."
